STATE,NUCLEAR (%),COAL (%),NATURAL GAS (%),PETROLEUM (%),HYDRO (%),GEOTHERMAL (%),SOLAR - PV (%),WIND (%),BIOMASS AND OTHER (%),efficiency_coal,efficiency_ng,efficiency_oil,primary_energy_coal (MMBtu electricity / MMBtu heat),primary_energy_ng (MMBtu electricity / MMBtu heat),primary_energy_oil (MMBtu electricity / MMBtu heat),emissions_coal (kg CO2 / MMBtu electricity),emissions_ng (kg CO2 / MMBtu electricity),emissions_oil (kg CO2 / MMBtu electricity),emissions_coal (kg CO2 / MM Btu heat),emissions_ng (kg CO2 / MM Btu heat),emissions_oil (kg CO2 / MM Btu heat),total_emissions (kg CO2 / MM Btu heat)
Alabama,32,16,40.5,0,8.8,0,0.3,0,2.5,0.320225246,0.44134006,0.303046452,0.525945579,0.965957611,0,95.63,52.91,74.615,50.29617573,51.10881719,0,101.4049929
Alaska,0,12.6,37.6,16,30.5,0,0,2.8,0.6,0.320225246,0.44134006,0.303046452,0.414182144,0.896790276,0.555759857,95.63,52.91,74.615,39.60823838,47.44917349,41.46802172,128.5254336
Arizona,28.8,12.5,46.4,0,5.9,0,5.5,0.6,0.2,0.320225246,0.44134006,0.303046452,0.410894984,1.106677362,0,95.63,52.91,74.615,39.29388729,58.5542992,0,97.84818649
Arkansas,28.5,29.1,31.8,0.1,8.1,0,0.5,0,1.9,0.320225246,0.44134006,0.303046452,0.956563522,0.758455606,0.003473499,95.63,52.91,74.615,91.4761696,40.12988609,0.259175136,131.8652308
California,8.4,0.1,48.1,0,11,6.1,15.7,7,3.4,0.320225246,0.44134006,0.303046452,0.00328716,1.14722373,0,95.63,52.91,74.615,0.314351098,60.69960758,0,61.01395868
Colorado,0,35.9,34,0,3.3,0,2.8,23.5,0.4,0.320225246,0.44134006,0.303046452,1.180090393,0.810927377,0,95.63,52.91,74.615,112.8520443,42.90616752,0,155.7582118
Connecticut,38.2,0,57,0,1,0,0.6,0,3.3,0.320225246,0.44134006,0.303046452,0,1.359495897,0,95.63,52.91,74.615,0,71.9309279,0,71.9309279
Delaware,0,2,95.2,0.3,0,0,1.2,0.1,1.2,0.320225246,0.44134006,0.303046452,0.065743197,2.270596656,0.010420497,95.63,52.91,74.615,6.287021966,120.1372691,0.777525407,127.2018164
District of Columbia,0,0,64.8,0,0,0,8.8,0,26.4,0.320225246,0.44134006,0.303046452,0,1.545532177,0,95.63,52.91,74.615,0,81.77410751,0,81.77410751
Florida,11.8,6.7,75.3,0.7,0.1,0,2.6,0,2.8,0.320225246,0.44134006,0.303046452,0.220239711,1.795965632,0.024314494,95.63,52.91,74.615,21.06152359,95.0245416,1.81422595,117.9002911
Georgia,27.6,11.7,49.1,0.2,3.1,0,3.3,0,5,0.320225246,0.44134006,0.303046452,0.384597705,1.171074536,0.006946998,95.63,52.91,74.615,36.7790785,61.96155368,0.518350271,99.25898246
Hawaii,0,12.5,0,66.1,1,2.2,5.7,6.2,6.3,0.320225246,0.44134006,0.303046452,0.410894984,0,2.295982909,95.63,52.91,74.615,39.29388729,0,171.3147647,210.608652
Idaho,0,0.1,20.7,0,58.7,0.5,2.9,14.2,2.9,0.320225246,0.44134006,0.303046452,0.00328716,0.493711668,0,95.63,52.91,74.615,0.314351098,26.12228434,0,26.43663544
Illinois,57.8,17.9,14,0,0.1,0,0.1,9.9,0.4,0.320225246,0.44134006,0.303046452,0.588401617,0.333911273,0,95.63,52.91,74.615,56.26884659,17.66724545,0,73.93609204
Indiana,0,53.2,37.6,0.1,0.3,0,0.5,7.3,1.1,0.320225246,0.44134006,0.303046452,1.74876905,0.896790276,0.003473499,95.63,52.91,74.615,167.2347843,47.44917349,0.259175136,214.9431329
