city,state,region
albuquerque,New Mexico,AZNM
anchorage,Alaska,AKGD
billings,Montana,NWPP
bismarck,North Dakota,MROW
boise,Idaho,NWPP
chicago,Illinois,RFCW
columbus,Ohio,RFCW
denver,Colorado,RMPA
duluth,Minnesota,MROW
fairbanks,Alaska,AKGD
flagstaff,Arizona,AZNM
indianapolis,Indiana,RFCW
kansas city,Missouri,SPNO
louisville,Kentucky,RFCW
minneapolis,Minnesota,MROW
minot,North Dakota,MROW
omaha,Nebraska,MROW
pittsburgh,Pennsylvania,RFCW
reno,Nevada,NWPP
salt lake city,Utah,NWPP
albany,New York,NYUP
amarillo,Texas,SPSO
augusta,Maine,NEWE
baltimore,Maryland,RFCE
boston,Massachusetts,NEWE
charleston,West Virginia,RFCW
cheyenne,Wyoming,RMPA
des moines,Iowa,MROW
detroit,Michigan,RFCM
dover,Delaware,RFCE
fayetteville,Arkansas,SPSO
greensboro,North Carolina,SRVC
hancock,Michigan,MROE
hartford,Connecticut,NEWE
juneau,Alaska,AKMS
madison,Wisconsin,MROE
manchester,New Hampshire,NEWE
montpellier,Vermont,NEWE
nashville,Tennessee,SRTV
new york city,New York,NYCW
philadelphia,Pennsylvania,RFCE
portland,Oregon,NWPP
providence,Rhode Island,NEWE
redding,California,CAMX
richmond,Virginia,SRVC
rome,Georgia,SRSO
seattle,Washington,NWPP
spokane,Washington,NWPP
topeka,Kansas,SPNO
trenton,New Jersey,RFCE
washington,District of Columbia,RFCE
