category,heating_emissions_comparison,heating_cost_comparison,cop,grid_emissions,natural_gas_price,electricity_price
albuquerque,-0.184920896,0.273730758,2.822368421,127,6.788813886,27.34466589
anchorage,0.03251231,0.825521024,2.601268331,149,10.74252652,58.0890973
billings,-0.327830558,0.317651382,2.584529506,96,6.962391514,26.75849941
bismarck,0.180191407,0.515221789,2.213257576,147,6.576663452,25
boise,-0.389762281,0.129212412,2.875957121,96,6.489874638,23.41735053
chicago,-0.04512679,0.238836902,2.699204628,143,7.656702025,28.57561547
columbus,-0.000244829,0.054936607,2.579132474,143,9.18997107,27.66705744
denver,0.123930655,0.450861683,2.638132296,166,6.962391514,30.0996483
duluth,0.135770592,0.529597853,2.304080311,147,7.753134041,30.97889801
fairbanks,0.411795799,1.478547782,1.861189303,149,10.74252652,58.0890973
flagstaff,-0.111550727,-0.147897705,2.562851782,127,12.63259402,30.5978898
indianapolis,-0.025889835,0.19165311,2.643150123,143,8.283510125,29.07385698
kansas city,-0.032386291,-0.041623445,2.663470757,143,10.0192864,28.25322392
louisville,-0.05034935,-0.215067181,2.722955145,143,10.74252652,25.14654162
minneapolis,0.109639467,0.494879371,2.368137255,147,7.753134041,30.97889801
minot,0.072970332,0.377963645,2.442635659,147,6.576663452,25
omaha,0.04387545,0.202603148,2.524312896,147,7.753134041,26.28956624
pittsburgh,-0.04606726,-0.137117121,2.705759162,143,11.07039537,28.42907386
reno,-0.369050413,-0.199027742,2.771197847,96,9.990356798,24.41383353
salt lake city,-0.372727044,-0.002774473,2.793046358,96,7.859209257,24.23798359
albany,-0.787054519,0.179764046,2.694008559,31,12.34329797,43.58147714
amarillo,-0.165115931,-0.312951012,2.901213172,134,11.2246866,24.5017585
augusta,-0.51570389,0.001765456,2.486942329,66,14.3490839,39.68347011
baltimore,-0.397197578,-0.162955406,2.827993255,93,12.60366442,32.67878077
boston,-0.601310308,0.110074885,3.052805281,66,14.18514947,53.31184056
charleston,-0.021516666,-0.093984574,2.633199465,143,9.74927676,25.64478312
cheyenne,0.038761873,-0.101800627,2.874446086,166,8.524590164,24.23798359
des moines,0.004749278,0.194660636,2.626373626,147,7.5024108,26.28956624
detroit,0.019038258,0.426539439,2.808454425,159,7.955641273,35.78546307
dover,-0.421566477,-0.253892085,2.944764097,93,12.487946,30.01172333
fayetteville,-0.088009228,-0.291351939,2.657718121,134,11.84185149,24.38452521
greensboro,-0.360746659,-0.230595502,2.571428571,90,12.75795564,27.63774912
hancock,0.395863315,0.559876754,2.550367488,201,7.955641273,35.78546307
hartford,-0.545260523,0.3318975,2.667085427,66,14.15621986,56.06682298
juneau,-0.556034892,0.577548753,3.036122818,73,10.74252652,58.0890973
madison,0.506745367,0.638476182,2.347215496,201,7.25168756,31.7116061
manchester,-0.549408379,0.154363894,2.690875233,66,14.13693346,48.73974209
montpellier,-0.528467779,0.309076489,2.561181435,66,12.73866924,47.86049238
nashville,-0.166471129,0.055193579,2.774193548,127,8.649951784,27.90152403
new york city,-0.574939168,-0.00379304,3.210986267,74,12.34329797,43.58147714
philadelphia,-0.424601907,-0.208366512,2.965025907,93,11.07039537,28.42907386
portland,-0.531535249,-0.401596128,3.769886364,96,10.52073288,25.84994138
providence,-0.582017069,0.158563178,2.909181637,66,14.52266152,54.33763189
redding,-0.706258124,-0.090805651,3.855855856,61,13.63548698,52.75498242
richmond,-0.44449901,-0.324625348,2.975717439,90,12.26615236,26.84642438
rome,-0.186618393,-0.37747375,2.894230769,129,14.89874638,29.1031653
seattle,-0.533958553,-0.439910935,3.790874525,96,10.57859209,24.41383353
spokane,-0.389393385,-0.266366599,2.874446086,96,10.57859209,24.41383353
topeka,-0.035784909,0.133081472,2.670857143,143,9.035679846,30.42203986
trenton,-0.387533789,0.346582919,2.777624309,93,9.566055931,39.94724502
washington,-0.427758301,-0.074729901,2.98,93,11.49469624,34.87690504
